Name,Location,Region,Coach,Total_Winnings
Apex Genesis,United States,North America,BliNcc,"$5,000"
CDUB Esports,North America,North America,Kips,"$39,750"
Fart Studios,United States,North America,na,"$11,000"
nouns,United States,North America,MiLAN,"$319,314"
Sand King Gómez,Mexico,North America,Dr.Heisenberg,"$40,038"
Shopify Rebellion,United States,North America,BuLba,"$735,261"
beastcoast,United States,South America,Mariano,"$1,920,997"
BOOM Esports,Peru,South America,Vintage,"$1,425,934"
HEROIC,South America,South America,Mangusu,"$210,000"
Infamous,Peru,South America,Accel,"$1,647,188"
Infinity,Costa Rica,South America,Arce,"$273,747"
Lava Esports,Peru,South America,na,"$128,806"
Leviatán,Peru,South America,Flapjack,"$3,000"
NoPing Esports,Brazil,South America,dpms,"$180,380"
Pacific Esports,Bolivia,South America,na,$950
Qhali,Peru,South America,D'rok,"$46,750"
x5 Gaming,Brazil,South America,JH,"$18,600"
B8,Ukraine,Europe,ALEWEHKA,"$126,000"
Cloud9,Europe,Europe,Astini,"$2,126,159"
Gaimin Gladiators,Europe,Europe,Cy-,"$5,803,749"
MOUZ,Germany,Europe,ImmortalFaith,"$384,881"
NAVI Junior,Ukraine,Europe,Artstyle,"$36,500"
OG,Europe,Europe,Misha,"$37,186,943"
Team Liquid,Netherlands,Europe,Blitz,"$29,520,629"
Team Secret,Europe,Europe,Heen,"$18,798,397"
Tundra Esports,United Kingdom,Europe,MoonMeander,"$10,687,634"
1win,Russia,CIS,Ahilles,"$31,000"
9Pandas,Serbia,CIS,MeTTpuM,"$1,119,569"
BetBoom Team,Russia,CIS,boolk,"$2,453,653"
HYDRA,Kyrgyzstan,CIS,633,"$164,144"
L1GA TEAM,Russia,CIS,Nofear,"$55,000"
Marlerino eSports,Russia,CIS,pavlun,"$11,512"
Natus Vincere,Ukraine,CIS,Sword_Art,"$5,184,644"
Nemiga Gaming,Belarus,CIS,Fervian,"$222,359"
Night Pulse,Serbia,CIS,TheHeartlessKing,"$27,256"
One Move,Russia,CIS,Alagon,"$207,290"
SIBE Team,Russia,CIS,sbdush,"$39,006"
Team Spirit,Serbia,CIS,Silent,"$28,014,259"
Virtus.pro,Armenia,CIS,G,"$11,869,194"
Yellow Submarine,Russia,CIS,fn,"$68,495"
Nigma Galaxy,United Arab Emirates,MENA,Machunki,"$1,025,584"
PSG Quest,Qatar,MENA,Accell,"$1,113,090"
Team Falcons,Saudi Arabia,MENA,Aui_2000,"$2,277,500"
Winter Bear,Oman,MENA,Dot,"$42,699"
Azure Ray,China,China,na,"$801,898"
G2 x iG,China,China,@dogf1ghts,"$250,000"
LGD Gaming,China,China,xiao8,"$25,759,095"
Team Bright,China,China,na,"$51,000"
Team Zero,China,China,bLink,"$57,714"
Xtreme Gaming,China,China,Maps,"$1,732,600"
Aurora,Malaysia,Southeast Asia,SunBhie,"$265,000"
Blacklist International,Philippines,Southeast Asia,DuBu,"$244,000"
Bleed Esports,Singapore,Southeast Asia,Se,"$102,000"
Execration,Philippines,Southeast Asia,Joevy,"$869,938"
IHC Esports,Mongolia,Southeast Asia,khishka,"$57,066"
Myth Avenue Gaming,Malaysia,Southeast Asia,Gamebred,"$56,961"
Talon Esports,Philippines,Southeast Asia,pieliedie,"$2,285,297"
TNC Predator,Philippines,Southeast Asia,Kuku,"$4,706,916"
Yangon Galacticos,Myanmar,Southeast Asia,na,"$60,232"
